Time [Mins],DATE (MMDD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11)
518,0101,0838,35.9681,2.47769,132.77335,9.09,2.781,-4.619,35.9,7,5.95,270.9,802.57,0.0,0.209,0.0,0.1783
519,0101,0839,39.2188,6.602239999999999,132.95863,9.12,2.8,-4.7,35.58,7,7.95,269.2,802.4760000000001,0.0,0.263,0.0,0.1823
520,0101,0840,45.4534,20.9145,133.14433,9.25,2.87,-4.73,35.18,10,6.95,274.0,802.425,0.0,0.335,0.0,0.1929
521,0101,0841,65.9462,110.848,133.33045,9.39,2.967,-4.633,35.14,11,5.45,283.5,802.5010000000001,0.0,0.16899999999999998,0.0,0.2275
522,0101,0842,71.9109,117.984,133.51701,9.39,2.947,-4.553,35.38,11,6.95,284.0,802.4630000000001,0.0,0.175,0.0,0.2359
523,0101,0843,53.4681,17.3932,133.70399,9.3,2.9339999999999997,-4.466,35.86,12,5.7,282.5,802.4889999999999,0.0,0.10300000000000001,0.0,0.2041
524,0101,0844,53.7671,9.63868,133.8914,9.21,2.931,-4.468999999999999,36.07,13,5.45,290.4,802.46,0.0,0.006999999999999999,0.0,0.2018
525,0101,0845,56.9553,11.0185,134.07924,8.83,2.742,-4.3580000000000005,37.36,13,4.45,295.5,802.465,0.0,0.091,0.0,0.206
526,0101,0846,79.5813,109.51700000000001,134.26751000000002,8.63,2.64,-4.46,37.54,14,3.45,267.7,802.419,0.0,0.11800000000000001,0.0,0.2295
527,0101,0847,118.03399999999999,264.497,134.45622,8.56,2.6060000000000003,-4.494,37.61,13,7.45,289.5,802.335,0.0,0.38799999999999996,0.0,0.2524
528,0101,0848,115.41799999999999,249.577,134.64536999999999,9.05,2.759,-4.641,35.93,15,10.45,273.6,802.14,0.0,0.452,0.0,0.2478
529,0101,0849,82.5987,107.059,134.83495,9.48,3.048,-4.552,35.17,15,7.45,283.7,802.2080000000001,0.0,0.29100000000000004,0.0,0.2305
530,0101,0850,75.4385,84.2057,135.02497,9.69,3.13,-4.47,34.92,14,8.95,276.8,802.178,0.0,0.292,0.0,0.2284
531,0101,0851,60.3799,19.1981,135.21543,9.85,3.2,-4.5,34.46,13,8.2,273.1,802.19,0.0,0.272,0.0,0.2095
532,0101,0852,57.893,11.8937,135.40633,9.96,3.2710000000000004,-4.629,33.83,12,8.7,269.0,802.2330000000001,0.0,0.24,0.0,0.2084
533,0101,0853,84.6459,136.029,135.59767,10.02,3.28,-4.62,33.72,12,7.95,270.5,802.252,0.0,0.21600000000000003,0.0,0.2382
534,0101,0854,108.318,204.429,135.78946000000002,10.08,3.299,-4.601,33.64,15,5.7,277.2,802.2869999999999,0.0,0.14800000000000002,0.0,0.2525
535,0101,0855,110.71600000000001,206.043,135.98169,10.08,3.323,-4.577,33.71,14,5.45,255.1,802.216,0.0,0.23,0.0,0.2504
536,0101,0856,90.8321,96.946,136.17436999999998,10.08,3.3339999999999996,-4.466,34.03,15,6.45,278.0,802.221,0.0,0.162,0.0,0.2349
537,0101,0857,99.6251,122.391,136.3675,10.07,3.295,-4.505,33.94,19,7.7,271.5,802.185,0.0,0.205,0.0,0.235
538,0101,0858,136.632,267.159,136.56107,10.07,3.35,-4.55,33.81,20,9.7,266.3,802.148,0.0,0.19,0.0,0.2539
539,0101,0859,111.55,155.585,136.7551,10.08,3.303,-4.497,33.94,23,8.45,270.5,802.095,0.0,0.214,0.0,0.2402
540,0101,0900,106.26,137.297,136.94958,10.09,3.383,-4.5169999999999995,33.86,25,7.45,271.9,802.0160000000001,0.0,0.21600000000000003,0.0,0.2366
541,0101,0901,96.3251,92.792,137.14451,10.08,3.3339999999999996,-4.466,34.03,24,7.45,264.7,802.052,0.0,0.193,0.0,0.2322
542,0101,0902,150.444,317.64799999999997,137.33989,10.05,3.366,-4.534,33.9,26,6.95,260.9,802.002,0.0,0.19399999999999998,0.0,0.2494
543,0101,0903,262.837,758.444,137.53573,10.05,3.327,-4.573,33.79,30,5.7,275.2,802.012,0.0,0.215,0.0,0.2732
544,0101,0904,134.936,255.632,137.73202,10.09,3.407,-4.393,34.22,29,5.45,268.0,802.01,0.0,0.196,0.0,0.2525
545,0101,0905,83.6426,56.9277,137.92878000000002,10.08,3.3680000000000003,-4.4319999999999995,34.13,26,6.45,259.2,801.962,0.0,0.193,0.0,0.2223
546,0101,0906,70.278,9.30745,138.12599,10.04,3.32,-4.48,34.08,26,5.7,262.6,801.9789999999999,0.0,0.152,0.0,0.21
547,0101,0907,69.3811,5.10872,138.32366000000002,9.93,3.2769999999999997,-4.423,34.5,27,6.7,266.3,801.998,0.0,0.165,0.0,0.2088
548,0101,0908,71.1932,10.1779,138.52178999999998,9.81,3.217,-4.4830000000000005,34.6,27,7.2,272.9,801.8960000000001,0.0,0.16899999999999998,0.0,0.2103
549,0101,0909,76.482,26.9827,138.72038,9.78,3.1630000000000003,-4.637,34.22,28,7.2,263.7,801.805,0.0,0.272,0.0,0.2131
550,0101,0910,86.3634,63.891,138.91943,9.87,3.1660000000000004,-4.6339999999999995,34.02,28,6.7,259.9,801.8589999999999,0.0,0.23199999999999998,0.0,0.222
551,0101,0911,83.0995,51.0325,139.11895,9.87,3.2710000000000004,-4.428999999999999,34.62,28,4.7,274.8,801.924,0.0,0.156,0.0,0.2213
552,0101,0912,72.2668,12.695,139.31893,9.77,3.1689999999999996,-4.431,34.85,27,4.95,268.4,801.8739999999999,0.0,0.16699999999999998,0.0,0.2098
553,0101,0913,68.3957,10.0937,139.51937,9.69,3.167,-4.433,35.03,25,5.45,268.0,801.8760000000001,0.0,0.17600000000000002,0.0,0.2069
554,0101,0914,64.4404,7.47755,139.72028,9.61,3.137,-4.463,35.13,22,4.7,274.9,801.8760000000001,0.0,0.16899999999999998,0.0,0.2033
555,0101,0915,61.1821,5.71697,139.92166,9.55,3.073,-4.427,35.38,19,5.95,277.6,801.84,0.0,0.244,0.0,0.2003
556,0101,0916,59.1513,6.4934,140.1235,9.55,3.073,-4.527,35.08,18,6.45,265.8,801.836,0.0,0.249,0.0,0.1966
557,0101,0917,56.0237,4.95535,140.32582,9.6,3.062,-4.538,34.93,17,5.7,266.4,801.847,0.0,0.253,0.0,0.1933
558,0101,0918,52.7771,2.31448,140.5286,9.65,3.145,-4.555,34.76,14,4.45,268.9,801.85,0.0,0.215,0.0,0.1891
559,0101,0919,50.6405,2.00292,140.73185,9.67,3.1010000000000004,-4.499,34.88,13,4.45,262.7,801.831,0.0,0.177,0.0,0.1855
560,0101,0920,49.2696,1.94852,140.93556999999998,9.61,3.114,-4.486000000000001,35.06,12,5.95,255.7,801.8639999999999,0.0,0.205,0.0,0.1809
561,0101,0921,48.6561,1.8199400000000001,141.13977,9.56,3.134,-4.466,35.24,11,4.45,263.8,801.8639999999999,0.0,0.19,0.0,0.1776
562,0101,0922,49.0512,2.37383,141.34443000000002,9.51,3.108,-4.492,35.28,10,6.45,265.5,801.768,0.0,0.27399999999999997,0.0,0.1752
563,0101,0923,51.0905,4.60918,141.54957,9.58,3.04,-4.56,34.91,9,4.95,266.2,801.732,0.0,0.27899999999999997,0.0,0.1744
564,0101,0924,61.3624,36.4233,141.75518,9.64,3.1839999999999997,-4.416,35.2,9,5.45,266.1,801.779,0.0,0.20199999999999999,0.0,0.1909
565,0101,0925,139.35299999999998,297.954,141.96126,9.63,3.14,-4.46,35.09,8,7.45,261.9,801.672,0.0,0.261,0.0,0.2377
566,0101,0926,156.077,344.273,142.16782,9.75,3.1910000000000003,-4.409,34.96,8,8.95,269.6,801.61,0.0,0.29,0.0,0.2368
567,0101,0927,229.753,586.436,142.37485,9.9,3.247,-4.453,34.48,8,9.2,264.9,801.5939999999999,0.0,0.316,0.0,0.2505
568,0101,0928,282.904,741.985,142.58235,10.14,3.384,-4.516,33.75,10,10.45,266.7,801.576,0.0,0.313,0.0,0.2504
569,0101,0929,320.668,862.678,142.79034,10.33,3.512,-4.388,33.69,12,5.45,262.8,801.6010000000001,0.0,0.293,0.0,0.2562
570,0101,0930,327.643,882.424,142.99878999999999,10.53,3.6830000000000003,-4.217,33.73,13,4.95,250.0,801.68,0.0,0.267,0.0,0.2576
571,0101,0931,327.81,877.5830000000001,143.20772,10.63,3.64,-4.56,32.54,13,2.2,215.8,801.7139999999999,0.0,0.085,0.0,0.2565
572,0101,0932,330.499,878.888,143.41713000000001,10.59,3.5439999999999996,-4.656000000000001,32.36,13,2.7,224.1,801.697,0.0,-0.006,0.0,0.2553
573,0101,0933,333.959,881.034,143.62702,10.51,3.485,-4.715,32.37,13,2.7,239.4,801.7289999999999,0.0,0.023,0.0,0.2539
574,0101,0934,338.33099999999996,885.097,143.83738,10.51,3.596,-4.504,32.96,15,1.2,244.8,801.737,0.0,0.027000000000000003,0.0,0.2526
575,0101,0935,342.26099999999997,886.063,144.04822,10.61,3.488,-4.812,31.89,15,2.2,250.0,801.7560000000001,0.0,0.004,0.0,0.2516
576,0101,0936,346.99,888.6080000000001,144.25954,10.63,3.511,-4.789,31.91,14,2.95,251.3,801.7669999999999,0.0,0.01,0.0,0.2507
577,0101,0937,352.00300000000004,891.557,144.47133,10.6,3.528,-4.772,32.02,14,3.2,247.3,801.809,0.0,0.047,0.0,0.2502
578,0101,0938,344.477,854.9730000000001,144.6836,10.57,3.5439999999999996,-4.756,32.13,15,2.7,254.7,801.8389999999999,0.0,0.009000000000000001,0.0,0.2493
579,0101,0939,352.835,862.49,144.89635,10.54,3.4539999999999997,-4.746,32.22,17,1.7,252.2,801.817,0.0,0.07200000000000001,0.0,0.248
580,0101,0940,348.73800000000006,834.538,145.10957,10.59,3.486,-4.7139999999999995,32.2,18,1.45,190.1,801.784,0.0,0.172,0.0,0.2444
581,0101,0941,375.26300000000003,899.957,145.32327,10.79,3.705,-4.595,32.1,21,0.7,185.9,801.7860000000001,0.0,0.126,0.0,0.2463
582,0101,0942,354.653,810.5369999999999,145.53745,11.03,3.7489999999999997,-4.551,31.71,24,1.7,205.2,801.8389999999999,0.0,0.075,0.0,0.2444
583,0101,0943,290.252,604.569,145.75211000000002,11.11,3.716,-4.784,30.92,23,2.2,191.5,801.8539999999999,0.0,-0.008,0.0,0.2341
584,0101,0944,332.287,695.3,145.96724,11.03,3.714,-4.7860000000000005,31.08,28,1.95,235.5,801.934,0.0,-0.005,0.0,0.2379
585,0101,0945,406.74300000000005,875.865,146.18285,10.96,3.612,-4.988,30.69,34,1.45,192.6,801.8710000000001,0.0,0.025,0.0,0.2424
586,0101,0946,390.43800000000005,792.2189999999999,146.39893999999998,11.0,3.8360000000000003,-4.4639999999999995,32.01,39,2.7,121.0,801.789,0.0,0.21899999999999997,0.0,0.2385
587,0101,0947,427.945,861.454,146.61551,11.08,3.825,-4.575,31.54,46,2.7,150.0,801.831,0.0,0.08,0.0,0.2376
588,0101,0948,446.033,878.806,146.83255,11.12,3.6639999999999997,-5.0360000000000005,30.24,52,2.2,107.6,801.791,0.0,-0.016,0.0,0.237
589,0101,0949,411.17699999999996,736.6519999999999,147.05006,11.08,3.725,-4.975,30.48,57,2.95,139.8,801.7639999999999,0.0,0.161,0.0,0.2337
590,0101,0950,421.644,751.4630000000001,147.26805,10.93,3.5810000000000004,-5.019,30.67,59,2.45,139.5,801.69,0.0,0.205,0.0,0.2293
591,0101,0951,471.80400000000003,884.794,147.48651999999998,10.86,3.5980000000000003,-4.802,31.39,64,2.7,147.7,801.623,0.0,0.257,0.0,0.2345
592,0101,0952,467.659,865.694,147.70546000000002,10.93,3.64,-4.86,31.09,66,2.7,141.3,801.622,0.0,0.17600000000000002,0.0,0.2341
593,0101,0953,486.23900000000003,904.467,147.92487,10.94,3.6830000000000003,-4.617,31.72,69,2.45,146.9,801.612,0.0,0.289,0.0,0.2342
594,0101,0954,402.665,647.875,148.14476000000002,11.08,3.773,-4.627,31.4,71,2.95,146.2,801.658,0.0,0.298,0.0,0.2288
595,0101,0955,455.098,803.405,148.36512,11.14,3.909,-4.4910000000000005,31.64,73,2.95,124.9,801.6410000000001,0.0,0.306,0.0,0.2334
596,0101,0956,413.649,683.685,148.58596,11.14,3.815,-4.685,31.12,73,3.7,124.0,801.5939999999999,0.0,0.255,0.0,0.2284
597,0101,0957,473.543,829.4839999999999,148.80726,11.08,3.773,-4.627,31.4,76,4.2,138.2,801.587,0.0,0.273,0.0,0.2315
598,0101,0958,475.347,816.702,149.02903999999998,11.09,3.8710000000000004,-4.519,31.67,77,2.7,139.6,801.602,0.0,0.484,0.0,0.2322
599,0101,0959,381.92,558.4259999999999,149.25128,11.29,3.94,-4.46,31.41,78,2.45,144.7,801.6519999999999,0.0,0.363,0.0,0.226
600,0101,1000,398.952,604.3580000000001,149.474,11.37,3.927,-4.773,30.42,81,1.95,118.2,801.668,0.0,0.22699999999999998,0.0,0.229
601,0101,1001,414.957,647.99,149.69718,11.45,4.083,-4.317,31.46,82,2.45,111.6,801.6089999999999,0.0,0.332,0.0,0.2296
602,0101,1002,310.399,350.347,149.92083,11.56,4.101,-4.499,30.75,82,2.95,121.7,801.605,0.0,0.245,0.0,0.219
603,0101,1003,245.845,190.796,150.14495,11.52,4.065,-4.435,31.0,82,3.2,131.8,801.6189999999999,0.0,0.147,0.0,0.2097
604,0101,1004,261.637,235.592,150.36953,11.33,3.898,-4.602,30.95,85,2.95,140.0,801.5980000000001,0.0,0.113,0.0,0.2145
605,0101,1005,264.322,253.851,150.59458,11.15,3.938,-4.362,31.97,86,2.7,141.6,801.6189999999999,0.0,0.247,0.0,0.2152
606,0101,1006,177.701,29.5739,150.82009,11.06,3.824,-4.5760000000000005,31.58,86,2.95,134.5,801.648,0.0,0.218,0.0,0.1979
607,0101,1007,167.59,14.1984,151.04606,10.88,3.725,-4.675,31.69,88,2.95,129.1,801.666,0.0,0.223,0.0,0.1928
608,0101,1008,160.251,4.213509999999999,151.2725,10.78,3.645,-4.555,32.23,90,2.95,110.6,801.658,0.0,0.265,0.0,0.1912
609,0101,1009,156.366,1.81992,151.49938999999998,10.69,3.616,-4.684,32.07,91,3.7,122.9,801.595,0.0,0.225,0.0,0.1911
610,0101,1010,155.007,3.71898,151.72673999999998,10.54,3.437,-4.863,31.9,92,2.7,121.7,801.643,0.0,0.22399999999999998,0.0,0.1911
611,0101,1011,152.89700000000002,4.34211,151.95455,10.42,3.447,-4.753,32.46,93,2.2,103.5,801.765,0.0,0.253,0.0,0.1906
612,0101,1012,149.49200000000002,2.90793,152.18282,10.38,3.408,-4.882,32.19,94,3.45,10.54,801.757,0.0,0.29600000000000004,0.0,0.1889
613,0101,1013,145.362,1.15229,152.41154,10.32,3.318,-4.882,32.32,93,3.95,67.28,801.743,0.0,0.239,0.0,0.1892
614,0101,1014,142.238,1.9287400000000001,152.64071,10.28,3.4189999999999996,-4.581,33.25,93,2.45,89.8,801.7180000000001,0.0,0.213,0.0,0.1883
615,0101,1015,139.757,2.09688,152.87034,10.23,3.3939999999999997,-4.606,33.29,94,3.95,86.3,801.671,0.0,0.184,0.0,0.1889
616,0101,1016,138.393,3.05138,153.10041,10.13,3.295,-4.805,32.95,94,3.95,64.98,801.678,0.0,0.155,0.0,0.1897
617,0101,1017,137.826,4.48064,153.33093,10.01,3.208,-4.8919999999999995,32.97,94,4.45,61.67,801.742,0.0,0.193,0.0,0.1905
618,0101,1018,134.536,1.26605,153.5619,9.88,3.138,-4.962,33.06,95,4.45,64.89,801.775,0.0,0.244,0.0,0.19
619,0101,1019,131.588,0.32640399999999997,153.79332,9.79,3.043,-4.857,33.56,95,4.2,76.78,801.796,0.0,0.214,0.0,0.1902
620,0101,1020,129.52200000000002,0.23243899999999998,154.02518,9.76,3.052,-5.038,33.11,95,3.95,72.48,801.812,0.0,0.282,0.0,0.1899
621,0101,1021,127.84700000000001,0.326403,154.25748000000002,9.75,3.085,-4.815,33.77,95,4.2,61.86,801.78,0.0,0.44299999999999995,0.0,0.189
622,0101,1022,126.53299999999999,0.598405,154.49021000000002,9.9,3.125,-4.875,33.26,95,3.45,93.0,801.7260000000001,0.0,0.38299999999999995,0.0,0.1887
623,0101,1023,125.277,0.49454799999999993,154.72339,10.02,3.252,-4.648,33.64,96,2.95,32.22,801.695,0.0,0.48100000000000004,0.0,0.1889
624,0101,1024,124.035,0.43520200000000003,154.957,10.22,3.2439999999999998,-4.956,32.33,95,2.45,49.21,801.709,0.0,0.442,0.0,0.1888
625,0101,1025,122.711,0.61324,155.19105,10.32,3.408,-4.792,32.57,95,1.7,73.54,801.757,0.0,0.26899999999999996,0.0,0.1894
626,0101,1026,121.41,0.761605,155.42552,10.35,3.411,-4.689,32.79,95,1.45,358.3,801.842,0.0,0.36,0.0,0.1883
627,0101,1027,120.29799999999999,0.870409,155.66043,10.39,3.391,-4.809,32.37,95,0.0,0.0,801.8610000000001,0.0,0.29600000000000004,0.0,0.1874
628,0101,1028,119.435,1.00394,155.89576,10.43,3.429,-4.771,32.39,96,0.7,324.1,801.8660000000001,0.0,0.341,0.0,0.187
629,0101,1029,119.17299999999999,1.18692,156.13152,10.47,3.522,-4.578,32.84,95,1.95,29.8,801.821,0.0,0.295,0.0,0.1868
630,0101,1030,119.31700000000001,1.40452,156.3677,10.47,3.5610000000000004,-4.439,33.23,95,4.7,40.87,801.79,0.0,0.368,0.0,0.1868
631,0101,1031,119.54,1.17703,156.6043,10.5,3.677,-4.223,33.78,95,3.95,27.94,801.841,0.0,0.36200000000000004,0.0,0.1871
632,0101,1032,120.1,0.875351,156.84132,10.49,3.5810000000000004,-4.5089999999999995,32.99,94,4.95,30.88,801.832,0.0,0.262,0.0,0.188
633,0101,1033,121.242,0.647859,157.07875,10.32,3.3480000000000003,-4.752,32.68,95,3.45,12.8,801.873,0.0,0.22399999999999998,0.0,0.1878
634,0101,1034,123.205,0.588514,157.3166,10.08,3.4339999999999997,-4.166,34.91,95,2.45,24.79,801.89,0.0,0.22399999999999998,0.0,0.1867
635,0101,1035,126.014,0.47971400000000003,157.55486000000002,9.91,3.3089999999999997,-4.391,34.64,95,2.95,40.06,801.837,0.0,0.314,0.0,0.185
636,0101,1036,128.868,0.43520200000000003,157.79352,9.86,3.3480000000000003,-4.252,35.17,96,4.7,26.53,801.7389999999999,0.0,0.397,0.0,0.1846
637,0101,1037,131.47299999999998,0.365965,158.03259,9.9,3.2910000000000004,-4.409,34.61,96,4.95,19.74,801.689,0.0,0.326,0.0,0.1851
638,0101,1038,133.998,0.237382,158.27206,9.86,3.267,-4.533,34.34,96,4.45,243.3,801.7360000000001,0.0,0.387,0.0,0.185
639,0101,1039,136.216,0.267054,158.51193,9.89,3.2769999999999997,-4.323,34.89,96,6.7,140.5,801.7710000000001,0.0,0.375,0.0,0.1848
640,0101,1040,137.81799999999998,0.232436,158.7522,9.96,3.44,-4.16,35.21,96,8.45,17.58,801.77,0.0,0.32299999999999995,0.0,0.1854
641,0101,1041,138.58,0.004945000000000001,158.99286999999998,9.97,3.3939999999999997,-4.206,35.05,95,7.2,257.7,801.829,0.0,0.355,0.0,0.186
642,0101,1042,137.935,-0.024727000000000002,159.23391999999998,10.0,3.431,-4.069,35.39,95,7.95,264.8,801.76,0.0,0.344,0.0,0.1856
643,0101,1043,135.817,-0.069237,159.47536000000002,9.99,3.5189999999999997,-3.781,36.29,96,8.2,276.9,801.745,0.0,0.249,0.0,0.1867
644,0101,1044,132.394,-0.18298299999999998,159.71719,9.82,3.4619999999999997,-3.738,36.84,96,9.7,286.4,801.704,0.0,0.249,0.0,0.1876
645,0101,1045,128.192,-0.311566,159.9594,9.75,3.345,-4.055,36.03,96,7.95,281.7,801.862,0.0,0.336,0.0,0.1863
646,0101,1046,124.212,-0.15331,160.20199,9.77,3.29,-4.21,35.51,97,4.7,231.0,801.972,0.0,0.37200000000000005,0.0,0.1855
647,0101,1047,121.406,0.178038,160.44495,9.79,3.42,-3.88,36.47,97,4.95,312.9,801.982,0.0,0.29100000000000004,0.0,0.1853